                     	Weight (lbf)	CG [x,y,z] (in)	MOI [Ixx, Iyy, Izz] (slug ft^2)	Group	
   ThirdSpar         	0.270	   26.2,     0.0,    12.9	  0.101,   0.002,   0.102	MainWing	
   TrailingEdge      	0.135	   37.6,     0.0,    11.1	  0.050,   0.008,   0.058	MainWing	
   LeadingEdge       	0.068	   14.4,     0.0,    11.0	  0.025,   0.001,   0.026	MainWing	
   LeadingEdgeBent1  	0.084	   15.7,     0.0,    10.6	  0.031,   0.001,   0.032	MainWing	
   LeadingEdgeBent2  	0.118	   16.1,     0.0,    11.3	  0.044,   0.001,   0.045	MainWing	
   Ribs              	1.476	   20.2,     0.0,    10.7	  0.390,   0.001,   0.390	MainWing	
   Aileron           	0.010	   30.2,     0.0,    11.5	  0.000,   0.000,   0.000	MainWing	
      Servo          	0.216	   21.5,     0.0,    12.2	  0.000,   0.000,   0.000	Controls	
Propulsion           	1.235	    1.2,     0.0,    13.0	  0.007,   0.116,   0.112	None	
   APC 20x8E         	0.254	    0.3,     0.0,    13.0	  0.003,   0.027,   0.026	Propulsion	
   Hacker_A50_14L    	0.981	    1.4,     0.0,    13.0	  0.003,   0.089,   0.086	Propulsion	
Main Gear            	2.900	   25.1,     0.0,     3.9	  0.042,   0.027,   0.031	None	
   Strut             	1.350	   25.1,     0.0,     4.0	  0.030,   0.013,   0.025	LandingGear	
   Wheel             	0.100	   25.0,     0.0,     2.0	  0.003,   0.002,   0.002	LandingGear	
Nose Gear            	1.100	    9.9,     0.0,     3.8	  0.008,   0.040,   0.032	None	
   Strut             	1.000	    9.9,     0.0,     4.0	  0.006,   0.036,   0.029	LandingGear	
   Wheel             	0.100	    9.8,     0.2,     2.0	  0.001,   0.004,   0.003	LandingGear	
Totals:              	17.11	   21.5,    -0.0,     9.3	  1.314,   0.805,   2.000		
